champion,n_ranks,wr_top10,wr_top25,wr_top50,delta_top10_vs_top50,delta_top25_vs_top50,pos_top10,pos_top25,pos_top50
Nidalee,50,64.84,66.98,66.28,-1.44,+0.69,19,1,1
Hecarim,100,67.01,66.75,66.13,+0.88,+0.62,7,2,2
Taliyah,50,68.25,65.98,65.03,+3.22,+0.95,3,3,3
Pantheon,50,67.26,63.94,64.22,+3.04,-0.29,6,12,4
Amumu,100,61.67,64.29,64.18,-2.51,+0.11,57,9,5
Rammus,50,64.27,64.38,63.93,+0.34,+0.45,23,7,6
Shyvana,50,64.76,64.33,63.75,+1.01,+0.58,20,8,7
Nilah,50,68.10,64.19,63.59,+4.51,+0.60,4,11,8
K'Sante,50,63.73,63.30,63.42,+0.31,-0.13,34,17,9
Viego,100,65.29,64.24,63.04,+2.25,+1.19,15,10,10
Smolder,50,69.80,65.86,63.00,+6.80,+2.86,1,4,11
Lillia,50,64.92,62.45,62.72,+2.20,-0.26,18,29,12
Olaf,50,63.20,62.14,62.48,+0.72,-0.34,40,31,13
Kha'Zix,50,66.43,65.15,62.43,+4.00,+2.72,11,5,14
Kai'Sa,50,68.08,62.76,62.25,+5.83,+0.51,5,24,15
Evelynn,50,66.27,62.88,62.15,+4.12,+0.73,12,20,16
Draven,50,63.51,62.73,62.13,+1.38,+0.60,38,25,17
Zed,50,63.59,61.22,62.13,+1.46,-0.90,36,44,18
Kog'Maw,50,63.28,62.98,62.06,+1.22,+0.93,39,19,19
Aurora,50,63.99,62.56,62.01,+1.98,+0.55,28,28,20
Senna,50,63.81,61.91,61.79,+2.02,+0.12,32,35,21
Vayne,50,66.55,64.93,61.79,+4.76,+3.14,9,6,22
Rengar,50,65.01,62.33,61.60,+3.41,+0.73,17,30,23
Ambessa,51,66.87,63.75,61.58,+5.29,+2.17,8,13,24
Jinx,50,66.50,63.57,61.57,+4.93,+2.00,10,15,25
Swain,100,63.14,63.50,61.55,+1.59,+1.94,41,16,26
Kassadin,50,65.09,63.14,61.51,+3.58,+1.63,16,18,27
Jayce,50,63.57,62.76,61.45,+2.12,+1.32,37,23,28
Kindred,50,62.56,60.66,61.42,+1.14,-0.76,48,53,29
Ezreal,50,65.36,61.27,61.42,+3.94,-0.15,14,42,30
Sona,50,63.63,60.94,61.35,+2.28,-0.41,35,49,31
Lucian,50,65.62,61.60,61.30,+4.32,+0.30,13,39,32
Orianna,50,60.12,60.90,61.23,-1.11,-0.32,85,51,33
Nasus,50,62.89,62.65,61.22,+1.67,+1.43,46,27,34
Warwick,50,64.06,62.88,61.20,+2.86,+1.67,26,21,35
Kennen,50,64.59,61.98,61.18,+3.41,+0.79,21,33,36
Nami,50,60.36,61.59,61.14,-0.78,+0.45,81,40,37
Fizz,50,64.36,60.36,61.05,+3.31,-0.68,22,61,38
Ryze,100,63.81,61.92,60.91,+2.90,+1.01,33,34,39
Twisted Fate,50,61.34,61.99,60.72,+0.62,+1.27,61,32,40
Nunu & Willump,50,61.57,61.55,60.68,+0.89,+0.87,58,41,41
Ornn,50,60.60,59.18,60.62,-0.02,-1.44,77,82,42
Vi,50,63.88,61.81,60.61,+3.27,+1.19,30,37,43
Master Yi,50,61.06,60.72,60.61,+0.45,+0.11,67,52,44
Yone,50,63.98,62.79,60.47,+3.51,+2.32,29,22,45
Fiddlesticks,50,59.70,61.12,60.44,-0.74,+0.68,91,46,46
Lee Sin,50,60.67,61.82,60.38,+0.29,+1.44,75,36,47
Nautilus,50,61.28,60.41,60.35,+0.93,+0.06,62,58,48
Vladimir,50,58.16,58.37,60.34,-2.18,-1.97,119,103,49
Corki,50,63.11,62.66,60.29,+2.82,+2.36,42,26,50
Gwen,50,60.78,61.09,60.29,+0.49,+0.80,73,47,51
Fiora,100,64.25,61.07,60.19,+4.06,+0.89,24,48,52
Gragas,50,62.35,59.92,60.09,+2.26,-0.18,51,66,53
Heimerdinger,50,59.89,60.03,60.02,-0.13,+0.01,89,63,54
Soraka,50,68.38,63.59,59.98,+8.40,+3.61,2,14,55
Syndra,50,60.95,58.95,59.86,+1.09,-0.91,68,92,56
Lulu,50,59.14,60.24,59.85,-0.71,+0.39,103,62,57
Norra,50,60.86,59.27,59.77,+1.09,-0.51,69,79,58
Tryndamere,50,59.02,59.42,59.75,-0.73,-0.33,107,77,59
Pyke,50,62.60,59.09,59.71,+2.89,-0.62,47,87,60
Poppy,50,59.57,59.16,59.70,-0.13,-0.54,94,83,61
Zeri,50,59.05,60.40,59.68,-0.63,+0.72,106,59,62
Nocturne,50,64.09,61.75,59.68,+4.41,+2.07,25,38,63
Morgana,50,62.29,59.80,59.60,+2.69,+0.20,53,68,64
Kayle,50,61.40,60.40,59.58,+1.82,+0.82,60,60,65
Talon,50,63.85,61.24,59.39,+4.46,+1.86,31,43,66
Jax,50,58.39,59.22,59.37,-0.98,-0.14,114,80,67
Samira,50,61.44,60.42,59.30,+2.14,+1.12,59,57,68
Jhin,50,59.42,57.90,59.30,+0.12,-1.40,97,119,69
Twitch,50,56.78,56.64,59.28,-2.50,-2.63,131,135,70
Galio,50,60.85,60.56,59.25,+1.60,+1.31,70,55,71
Xin Zhao,50,60.54,60.58,59.22,+1.32,+1.35,78,54,72
Zoe,50,59.95,58.68,59.15,+0.80,-0.47,87,97,73
Ashe,50,60.67,59.74,59.15,+1.52,+0.59,76,70,74
Jarvan IV,50,58.39,57.76,59.13,-0.74,-1.36,115,122,75
Teemo,50,57.43,58.36,59.06,-1.63,-0.70,128,104,76
Diana,50,60.40,59.10,59.03,+1.37,+0.07,80,86,77
Aurelion Sol,50,60.12,59.37,59.02,+1.10,+0.35,86,78,78
Riven,50,63.03,60.48,59.00,+4.03,+1.48,43,56,79
Volibear,50,57.80,57.90,58.99,-1.19,-1.10,124,120,80
Zilean,50,58.49,58.20,58.97,-0.48,-0.77,113,112,81
Sett,50,61.14,59.96,58.92,+2.22,+1.04,65,65,82
Singed,50,58.00,59.42,58.89,-0.89,+0.53,122,76,83
Miss Fortune,50,59.46,58.74,58.83,+0.63,-0.09,96,93,84
Veigar,50,62.95,59.81,58.76,+4.19,+1.05,44,67,85
Brand,50,56.48,56.69,58.67,-2.19,-1.98,133,134,86
Aatrox,50,60.21,58.30,58.64,+1.57,-0.34,84,105,87
Ahri,50,62.95,59.78,58.63,+4.32,+1.15,45,69,88
Leona,50,60.85,59.71,58.63,+2.22,+1.08,71,72,89
Gnar,50,62.02,59.00,58.63,+3.39,+0.37,55,90,90
Camille,50,64.01,61.22,58.61,+5.40,+2.61,27,45,91
Milio,50,62.43,60.93,58.59,+3.84,+2.34,49,50,92
Ekko,50,59.28,59.15,58.52,+0.76,+0.63,101,84,93
Darius,50,58.70,59.06,58.51,+0.19,+0.55,110,88,94
Yasuo,50,62.12,59.72,58.50,+3.62,+1.22,54,71,95
Mel,50,60.31,58.46,58.48,+1.83,-0.01,83,102,96
Shen,50,61.25,59.47,58.42,+2.83,+1.05,63,75,97
Mordekaiser,50,59.01,58.74,58.36,+0.65,+0.38,108,94,98
Graves,100,59.33,58.30,58.33,+1.00,-0.03,99,106,99
