champion,rank,player_name,score,games,winrate,captured_at
Wukong,1,Blasterfighter10,18860.0,166.0,62.0,2026-06-07T01:21:01+00:00
Wukong,2,AKREP,17979.0,245.0,59.6,2026-06-07T01:21:16+00:00
Wukong,3,ttivaR %,16617.0,116.0,55.2,2026-06-07T01:21:29+00:00
Wukong,4,Vnrer,16255.0,133.0,57.1,2026-06-07T01:21:44+00:00
Wukong,5,SrKaliser,16381.0,295.0,48.8,2026-06-07T01:22:05+00:00
Wukong,6,Yapnets,17150.0,159.0,55.3,2026-06-07T01:22:19+00:00
Wukong,7,Skwar utsk,14719.0,113.0,49.6,2026-06-07T01:22:44+00:00
Wukong,8,xneOHbiii TIONeCHb,16391.0,171.0,56.7,2026-06-07T01:22:59+00:00
Wukong,9,YBD KRAKEN,14708.0,73.0,61.6,2026-06-07T01:23:38+00:00
Wukong,10,KB ShadowV,14199.0,215.0,55.8,2026-06-07T01:23:51+00:00
Wukong,11,a J ee J,14767.0,199.0,57.3,2026-06-07T01:24:06+00:00
Wukong,12,Shinigami,13988.0,85.0,54.1,2026-06-07T01:24:19+00:00
Wukong,13,RB,13915.0,256.0,55.9,2026-06-07T01:24:42+00:00
Wukong,14,Federyco,14790.0,288.0,56.9,2026-06-07T01:24:57+00:00
Wukong,15,AN SYonko KAIDO,13228.0,60.0,65.0,2026-06-07T01:25:11+00:00
Wukong,16,,13402.0,104.0,61.5,2026-06-07T01:25:26+00:00
Wukong,17,TT,12829.0,99.0,62.6,2026-06-07T01:25:48+00:00
Wukong,18,LetMeCook,12834.0,185.0,63.2,2026-06-07T01:26:06+00:00
Wukong,19,B i,15785.0,164.0,64.0,2026-06-07T01:26:20+00:00
Wukong,20,waffle,12259.0,244.0,48.8,2026-06-07T01:26:35+00:00
Wukong,21,AN & AHMED,12771.0,99.0,56.6,2026-06-07T01:26:56+00:00
Wukong,22,FINALBOSS,12295.0,113.0,58.4,2026-06-07T01:27:10+00:00
Wukong,23,AAaminnhlian,12653.0,124.0,55.6,2026-06-07T01:27:23+00:00
Wukong,24,SherlockeD,12054.0,80.0,56.2,2026-06-07T01:27:37+00:00
Wukong,25,Rofufushka,11858.0,38.0,68.4,2026-06-07T01:27:57+00:00
Wukong,26,Onizuka,13473.0,130.0,53.1,2026-06-07T01:28:10+00:00
Wukong,27,SSSHHHRRR,13142.0,67.0,61.2,2026-06-07T01:28:23+00:00
Wukong,28,Hokulea,12267.0,115.0,47.8,2026-06-07T01:28:38+00:00
Wukong,29,Luciferr,11669.0,143.0,51.7,2026-06-07T01:29:02+00:00
Wukong,30,Anomaly,11377.0,100.0,53.0,2026-06-07T01:29:17+00:00
Wukong,31,Eosun Memitolar,11561.0,101.0,55.4,2026-06-07T01:29:35+00:00
Wukong,32,FORNAKS,11953.0,69.0,62.3,2026-06-07T01:29:48+00:00
