champion,rank,player,player_alt,NAMES_DISAGREE,tier,score,games,winrate,strip_frame
Aatrox,39,Beyond words,,,Challenger,8564,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\aatrox_20260803_1350\039_strip.jpg
Alistar,31,OMID,,,Master I,6909,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\alistar_20260805_0141\031_strip.jpg
Braum,49,爸爸SupGap,,,Grandmaster II,7696,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\braum_20260803_2138\049_strip.jpg
Camille,22,Boom bozo,AMINAKE,YES,,9215,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\camille_20260804_1818\022_strip.jpg
Camille,37,Ghostftw13,,,Grandmaster I,8168,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\camille_20260804_1818\037_strip.jpg
Corki,6,SAMIRA MIRA E E,,,Grandmaster I,9708,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\corki_20260804_1924\006_strip.jpg
Corki,20,KVCPERO,,,Legendary Challenger I,8046,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\corki_20260804_1924\020_strip.jpg
Corki,45,Blossomes,,,Diamond I,6695,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\corki_20260804_1924\045_strip.jpg
Diana,15,HeWad,,,Challenger,11003,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\diana_20260803_1720\015_strip.jpg
Diana,42,palecwdupie,,,Grandmaster III,8600,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\diana_20260803_1720\042_strip.jpg
Dr. Mundo,17,Insta YushinWR,,,Grandmaster III,8238,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\dr-mundo_20260804_1943\017_strip.jpg
Dr. Mundo,37,HejINjianG,,,Master I,7283,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\dr-mundo_20260804_1943\037_strip.jpg
Dr. Mundo,41,monneydan,,,Master III,7249,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\dr-mundo_20260804_1943\041_strip.jpg
Fiora,42,Rather Decent,,,Challenger,7253,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\fiora_20260804_0206\042_strip.jpg
Fizz,14,Gizmo,,,Master III,7900,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\fizz_20260805_0248\014_strip.jpg
Gwen,8,Krek,,,,10633,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\gwen_20260804_1757\008_strip.jpg
Gwen,42,hoèng,,,Challenger,8475,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\gwen_20260804_1757\042_strip.jpg
Hecarim,42,gela,,,,9567,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\hecarim_20260803_2022\042_strip.jpg
Jax,12,beginner player,,,Challenger,10151,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\jax_20260804_0610\012_strip.jpg
Jax,20,KRAL MERT,,,,8922,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\jax_20260804_0610\020_strip.jpg
Jinx,35,digitalawak3ning,,,Grandmaster I,7727,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\jinx_20260803_2005\035_strip.jpg
Kayle,7,8lo8lo8lowme,,,Grandmaster II,10224,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\kayle_20260804_1342\007_strip.jpg
Kayle,26,ÖlümdeVar,,,,8228,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\kayle_20260804_1342\026_strip.jpg
Kayn,1,Kaynculata,,,,11751,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\kayn_20260803_1022\001_strip.jpg
Kayn,26,Черный Яр,,,Master II,8138,,,C:\Users\USER\Documents\my_projects\wildrift-scraper\data\captures\kayn_20260803_1022\026_strip.jpg
