champion,rank,player,score,games,session
akshan,8,Lv99Λαγοκέφαλος,8938,,akshan_20260805_0649
ashe,2,Dzedas,11349,,ashe_20260805_0104
aurora,7,カオス LEONEL,10258,,aurora_20260805_0231
aurora,8,서나리,10215,,aurora_20260805_0231
aurora,10,Juniorskii,10055,,aurora_20260805_0231
blitzcrank,1,Will Will Well,15163,,blitzcrank_20260805_2223
brand,7,Darkhate1,8672,,brand_20260805_1419
brand,8,LyTho,8509,,brand_20260805_1419
brand,9,PainSK,8503,,brand_20260805_1419
caitlyn,1,Mollo,19475,,caitlyn_20260805_1310
caitlyn,3,Chỉ Ôm Trụ Thôi,11860,,caitlyn_20260805_1310
caitlyn,8,LPC✕GØRILALEGACY,10698,,caitlyn_20260805_1310
corki,6,SAMIRA MIRA E E,9708,,corki_20260804_1924
gnar,5,Ich Bin Huy,10056,,gnar_20260805_0044
gnar,6,Fıstıks,9964,,gnar_20260805_0044
gnar,7,'HujzNimiBogzNami,9932,,gnar_20260805_0044
gwen,8,Krek,10633,,gwen_20260804_1757
kayle,7,8lo8lo8lowme,10224,,kayle_20260804_1342
kayn,1,Kaynculata,11751,,kayn_20260803_1022
kindred,10,MADNESS会来,8633,,kindred_20260804_2317
kog-maw,7,Shnb2,9374,,kog-maw_20260805_1252
leona,7,РвотаЕнота,9074,,leona_20260804_1430
lucian,4,け千 FriendShip,12270,,lucian_20260804_1404
malphite,4,Creepy,8821,,malphite_20260805_0157
maokai,6,Insta YushinWR,9167,,maokai_20260804_2335
nami,1,Yui,14356,,nami_20260805_0336
nami,9,poke poke,12590,,nami_20260805_0336
nasus,3,sikayle,10938,,nasus_20260804_2047
nasus,5,M A D N E S S会来,9974,,nasus_20260804_2047
nasus,9,⊿DELTA⊿Diff,9120,,nasus_20260804_2047
nidalee,4,lukica,13923,,nidalee_20260805_0214
ornn,9,Insta YushinWR,10377,,ornn_20260805_1907
pyke,1,Will Will Well,17328,,pyke_20260805_1555
pyke,2,DC MEENACE77,13509,,pyke_20260805_1555
pyke,5,Ciuri,11657,,pyke_20260805_1555
pyke,6,WRTrueMeta,11211,,pyke_20260805_1555
pyke,7,low elo loser xD,11141,,pyke_20260805_1555
pyke,8,Find love,10654,,pyke_20260805_1555
pyke,10,Yy just R#Out,10096,,pyke_20260805_1555
rell,5,Stop,9719,,rell_20260805_1333
rell,8,野原秀之助,9389,,rell_20260805_1333
rell,10,SSS Voleuv,9309,,rell_20260805_1333
renekton,5,玳培加威shio1114,9073,,renekton_20260805_1439
renekton,10,Wanted,8659,,renekton_20260805_1439
riven,4,你想要起舞吗,11880,,riven_20260805_0357
riven,5,Woody Woodpecker,11820,,riven_20260805_0357
riven,7,vpapa,11437,,riven_20260805_0357
riven,8,letty dom fs vx,11399,,riven_20260805_0357
riven,9,WRTrueMeta,11229,,riven_20260805_0357
riven,10,PingvinNijeCava,11104,,riven_20260805_0357
senna,1,Mihailo,18680,,senna_20260805_1523
senna,2,Maya Berovic,15886,,senna_20260805_1523
senna,3,Лбвк у дм,14532,,senna_20260805_1523
senna,4,LPC╳ATENEA 愛,13204,,senna_20260805_1523
senna,5,YT HolyWR,12372,,senna_20260805_1523
senna,6,1MBIR,12345,,senna_20260805_1523
shen,6,ElTi,10923,,shen_20260805_1357
shen,7,ImanTroll,10850,,shen_20260805_1357
shen,8,JrPetrucci,10632,,shen_20260805_1357
shen,10,話 clown fiesta 本,10131,,shen_20260805_1357
shyvana,1,SKT T1 Mika,15580,,shyvana_20260804_1649
sivir,1,beginner player,12172,,sivir_20260805_1216
sivir,10,xBunker,7721,,sivir_20260805_1216
teemo,5,FiiZzU,9379,,teemo_20260804_1512
urgot,2,六脚SOLØ,11888,,urgot_20260805_0707
vayne,10,beginner player,10920,,vayne_20260803_1635
veigar,1,SKT T1 Mika,12100,,veigar_20260805_1500
veigar,2,SKT T1 Mika,10084,,veigar_20260805_1500
veigar,3,SKT T1 Mika,9181,,veigar_20260805_1500
veigar,6,legend erfan,8578,,veigar_20260805_1500
veigar,7,mrfizzy,8577,,veigar_20260805_1500
xayah,7,AcidBath,9795,,xayah_20260804_1704
yasuo,3,ドミトリー,11538,,yasuo_20260804_0518
zilean,1,Will Will Well,18170,,zilean_20260805_0124
