champion,rank,player,tag,score,session
aatrox,39,Beyond words,Cyn,8564,aatrox_20260803_1350
akshan,8,NexusPhoenix,,8938,akshan_20260805_0649
alistar,31,OMID,SUPP,6909,alistar_20260805_0141
ambessa,21,Tuna,bubbi,9354,ambessa_20260805_2322
ashe,2,Dzedas,EUW,11349,ashe_20260805_0104
ashe,11,Oberon Vortigern,zzz,10044,ashe_20260805_0104
ashe,12,KYNTRA,1v9,9880,ashe_20260805_0104
ashe,13,Queen of Frost,GRE,9742,ashe_20260805_0104
ashe,16,Weakside refugee,0000,8904,ashe_20260805_0104
ashe,18,Ɣ_Qヅαwéσᵺmé,ADSEE,8520,ashe_20260805_0104
ashe,21,Onurysl,onur,7678,ashe_20260805_0104
ashe,22,xVoDox,EUNE,7671,ashe_20260805_0104
aurora,31,whats poppin,198,8705,aurora_20260806_1456
aurora,36,Tillshi8970,,8564,aurora_20260806_1456
bard,20,Insta YushinWR,Boos1,8698,bard_20260805_1131
bard,49,mr nac,EUW,7161,bard_20260805_1131
blitzcrank,1,Will Will Well,Will,15163,blitzcrank_20260805_2223
brand,36,BananaMan,,7362,brand_20260806_1605
braum,49,爸爸SupGap,7335,7696,braum_20260803_2138
caitlyn,1,Mollo,1107,18818,caitlyn_20260806_1525
camille,22,AMINAKE,Aos,9215,camille_20260804_1818
camille,37,Ghostftw13,Dz13,8168,camille_20260804_1818
corki,6,SAMIRA MIRA E E,1122,9708,corki_20260804_1924
corki,20,KVCPERO,AUUU,8046,corki_20260804_1924
corki,45,Blossomes,TR1,6695,corki_20260804_1924
diana,15,HeWad,rrr,11003,diana_20260803_1720
diana,42,palecwdupie,saka,8600,diana_20260803_1720
dr-mundo,17,Insta YushinWR,Boos8,8238,dr-mundo_20260804_1943
dr-mundo,37,HejINjianG,95695,7283,dr-mundo_20260804_1943
dr-mundo,41,monneydan,mndo,7249,dr-mundo_20260804_1943
draven,27,AarusWR,,8096,draven_20260805_0025
draven,29,HızlıveSerseri,TR2,8066,draven_20260805_0025
draven,35,absent is dead,raven,7797,draven_20260805_0025
draven,37,SwlEqLer,1200,7653,draven_20260805_0025
draven,43,BALTAYI SOKTUM,Nes89,7453,draven_20260805_0025
draven,45,pαpι drαvεη,WASHD,7416,draven_20260805_0025
draven,46,Yota,乕乕zz,7347,draven_20260805_0025
draven,48,ReAdy,RU32,7330,draven_20260805_0025
fiddlesticks,36,Hava Savunma,,7557,fiddlesticks_20260806_0546
fiora,42,Rather Decent,Swine,7253,fiora_20260804_0206
fizz,14,Gizmo,Zhak,7900,fizz_20260805_0248
galio,18,我超喜欢日女玩家,看你和地,8586,galio_20260805_0632
gragas,19,Insta YushinWR,Boos5,7283,gragas_20260805_0304
gragas,20,Insta YushinWR,Boos3,7204,gragas_20260805_0304
gragas,27,Kasapi7777,,6688,gragas_20260805_0304
gragas,30,MpampisG,3382,6644,gragas_20260805_0304
gragas,34,îPlàyŇaked,Naked,6575,gragas_20260805_0304
gragas,39,Bankai,3844,6539,gragas_20260805_0304
gwen,8,Krek,,10633,gwen_20260804_1757
gwen,42,hoèng,1706,8475,gwen_20260804_1757
hecarim,42,gela,,9567,hecarim_20260803_2022
janna,20,Lady Deniz,pink,7186,janna_20260805_2302
jax,12,beginner player,65332,10151,jax_20260804_0610
jax,20,KRAL MERT,,8922,jax_20260804_0610
jhin,1,Mollo,1107,18188,jhin_20260806_0338
jhin,46,rom,roro,9550,jhin_20260806_0338
jinx,35,digitalawak3ning,2323,7727,jinx_20260803_2005
k-sante,47,Yone Wick,8252,7716,k-sante_20260805_2141
kalista,24,OTP LaFuFu ツ,King,7577,kalista_20260805_1828
kalista,40,MrBeto,,7308,kalista_20260805_1828
katarina,39,Anndrrii,INT,9006,katarina_20260805_0536
kayle,7,8lo8lo8lowme,好心态别急,10224,kayle_20260804_1342
kayle,26,ÖlümdeVar,,8228,kayle_20260804_1342
kayn,26,Черный Яр,7750,8138,kayn_20260803_1022
kayn,37,Scuttle Crab,L 8,7945,kayn_20260803_1022
kayn,39,〆EGOswekkos〆,Alone,7780,kayn_20260803_1022
kennen,13,Dracarys,,9558,kennen_20260806_0400
kennen,39,ManNaRo,AsM,7431,kennen_20260806_0400
kha-zix,34,yule3,p崽TuT,7628,kha-zix_20260803_1947
kindred,10,MADNESS会来,Blood,8633,kindred_20260804_2317
kindred,37,Sunset Sherbert,,7040,kindred_20260804_2317
kog-maw,7,Shnb2,515,9374,kog-maw_20260805_1252
kog-maw,11,ETERNITY,4784,9089,kog-maw_20260805_1252
kog-maw,49,Erfan,Iran,7215,kog-maw_20260805_1252
leona,7,РвотаЕнота,jolly,9074,leona_20260804_1430
leona,25,LadyHex,hila,7542,leona_20260804_1430
lissandra,19,Vivus Mortuus,Angor,8090,lissandra_20260805_1234
lissandra,27,DARABIBLE,ali,7713,lissandra_20260805_1234
lucian,46,DuKiAhn,1810,8995,lucian_20260806_1351
lulu,18,Insta YushinWR,Boos2,9826,lulu_20260804_1629
lulu,20,hocam eve gidcez,,9732,lulu_20260804_1629
lulu,46,Aveline,,8503,lulu_20260804_1629
malphite,4,Creepy,Troll,8821,malphite_20260805_0157
malphite,42,zapre13,1475,6978,malphite_20260805_0157
