champion,rank,player_name,score,games,winrate,captured_at
Wukong,1,Blasterfighter10,18860,166,62.0,2026-06-07T01:21:01+00:00
Wukong,2,AKREP,17979,245,59.6,2026-06-07T01:21:16+00:00
Wukong,3,ttivaR %,16617,116,55.2,2026-06-07T01:21:29+00:00
Wukong,4,Vnrer,16255,133,57.1,2026-06-07T01:21:44+00:00
Wukong,5,SrKaliser,16381,295,48.8,2026-06-07T01:22:05+00:00
Wukong,6,Yapnets,17150,159,55.3,2026-06-07T01:22:19+00:00
Wukong,7,Skwar utsk,14719,113,49.6,2026-06-07T01:22:44+00:00
Wukong,8,xneOHbiii TIONeCHb,16391,171,56.7,2026-06-07T01:22:59+00:00
Wukong,9,YBD KRAKEN,14708,73,61.6,2026-06-07T01:23:38+00:00
Wukong,10,KB ShadowV,14199,215,55.8,2026-06-07T01:23:51+00:00
Wukong,11,a J ee J,14767,199,57.3,2026-06-07T01:24:06+00:00
Wukong,12,Shinigami,13988,85,54.1,2026-06-07T01:24:19+00:00
Wukong,13,RB,13915,256,55.9,2026-06-07T01:24:42+00:00
Wukong,14,Federyco,14790,288,56.9,2026-06-07T01:24:57+00:00
Wukong,15,AN SYonko KAIDO,13228,60,65.0,2026-06-07T01:25:11+00:00
Wukong,16,,13402,104,61.5,2026-06-07T01:25:26+00:00
Wukong,17,TT,12829,99,62.6,2026-06-07T01:25:48+00:00
Wukong,18,LetMeCook,12834,185,63.2,2026-06-07T01:26:06+00:00
Wukong,19,B i,15785,164,64.0,2026-06-07T01:26:20+00:00
Wukong,20,waffle,12259,244,48.8,2026-06-07T01:26:35+00:00
Wukong,21,AN & AHMED,12771,99,56.6,2026-06-07T01:26:56+00:00
Wukong,22,FINALBOSS,12295,113,58.4,2026-06-07T01:27:10+00:00
Wukong,23,AAaminnhlian,12653,124,55.6,2026-06-07T01:27:23+00:00
Wukong,24,SherlockeD,12054,80,56.2,2026-06-07T01:27:37+00:00
Wukong,25,Rofufushka,11858,38,68.4,2026-06-07T01:27:57+00:00
Wukong,26,Onizuka,13473,130,53.1,2026-06-07T01:28:10+00:00
Wukong,27,SSSHHHRRR,13142,67,61.2,2026-06-07T01:28:23+00:00
Wukong,28,Hokulea,12267,115,47.8,2026-06-07T01:28:38+00:00
Wukong,29,Luciferr,11669,143,51.7,2026-06-07T01:29:02+00:00
Wukong,30,Anomaly,11377,100,53.0,2026-06-07T01:29:17+00:00
Wukong,31,Eosun Memitolar,11561,101,55.4,2026-06-07T01:29:35+00:00
Wukong,32,FORNAKS,11953,69,62.3,2026-06-07T01:29:48+00:00
Wukong,33,Reflexology,11439,61,52.5,2026-06-07T01:30:11+00:00
Wukong,34,TRL Godly Wine,11738,153,54.2,2026-06-07T01:30:24+00:00
Wukong,35,,11060,64,73.4,2026-06-07T01:30:38+00:00
Wukong,36,Gwen Stacy,12026,84,58.3,2026-06-07T01:30:52+00:00
Wukong,37,Nikk,10796,36,69.4,2026-06-07T01:31:12+00:00
Wukong,38,pitarsoit ‘1caonT7I,11022,148,58.1,2026-06-07T01:31:25+00:00
Wukong,39,BomboclatWallahi,10799,52,55.8,2026-06-07T01:31:38+00:00
Wukong,40,Armando Sabie,10633,71,57.7,2026-06-07T01:31:51+00:00
