champion,rank,player_name,score,games,winrate,captured_at
Aatrox,1,Hellboy,14620,76,63.2,2026-08-08T01:24:11
Aatrox,2,Azik,14457,79,72.2,2026-08-08T01:24:20
Aatrox,3,Shining Armor,14203,70,67.1,2026-08-08T01:24:27
Aatrox,4,Aaron,13736,106,53.8,2026-08-08T01:24:35
Aatrox,5,Kinjo Yuru,13778,172,59.3,2026-08-08T01:24:43
Aatrox,6,袋培威Jb18cm2535,14294,93,69.9,2026-08-08T01:24:55
Aatrox,7,WAG 1,12918,90,60.0,2026-08-08T01:25:06
Aatrox,8,raavtrox,13352,85,69.4,2026-08-08T01:25:16
Aatrox,9,EXO Targon ホ,13210,111,57.7,2026-08-08T01:25:23
Aatrox,10,cuenta de apoyo,12962,41,65.9,2026-08-08T01:25:33
Aatrox,11,Only Gabael,12794,149,61.1,2026-08-08T01:25:40
Aatrox,12,Above All,13087,127,63.0,2026-08-08T01:25:49
Aatrox,13,电玩咕咕枭,12550,187,56.7,2026-08-08T01:25:58
Aatrox,14,ubilinski,12629,106,59.4,2026-08-08T01:26:05
Aatrox,15,Wisxel,11371,57,56.1,2026-08-08T01:26:14
Aatrox,16,A Espada Darkin,10878,112,48.2,2026-08-08T01:26:28
Aatrox,17,Kyrie11,11035,28,78.6,2026-08-08T01:26:36
Aatrox,18,上單質檢員,10595,49,53.1,2026-08-08T01:26:45
Aatrox,19,Minari,11367,54,66.7,2026-08-08T01:26:54
Aatrox,20,ØĐĘŇŠŤŠ,10611,158,52.5,2026-08-08T01:27:01
Aatrox,21,PHAAX,10266,73,78.1,2026-08-08T01:27:10
Aatrox,22,Alejo,10461,34,61.8,2026-08-08T01:27:17
Aatrox,23,NewG,10126,29,62.1,2026-08-08T01:27:29
Aatrox,24,Apenas um aatrox,10538,76,59.2,2026-08-08T01:27:37
Aatrox,25,Zé Do Poste,10809,152,55.9,2026-08-08T01:27:44
Aatrox,26,TKMS乛ASHURA,10025,31,71.0,2026-08-08T01:27:53
Aatrox,27,YYY,10050,70,57.1,2026-08-08T01:28:02
Aatrox,28,리그릿,10113,64,53.1,2026-08-08T01:28:09
Aatrox,29,CRAZY,9875,46,63.0,2026-08-08T01:28:18
Aatrox,30,Invecible,9814,34,50.0,2026-08-08T01:28:26
Aatrox,31,Radamanthys,9827,112,46.4,2026-08-08T01:28:46
Aatrox,32,BBQYummy,9167,25,64.0,2026-08-08T01:28:54
Aatrox,33,MauRx,9691,95,58.9,2026-08-08T01:29:04
Aatrox,34,MK Enguiça,9657,63,47.6,2026-08-08T01:29:14
Aatrox,35,NUTT UNKNOWN,9793,40,65.0,2026-08-08T01:29:22
Aatrox,36,Tiumaiss,9250,26,69.2,2026-08-08T01:29:31
Aatrox,37,Dart Vader,9252,73,58.9,2026-08-08T01:29:45
Aatrox,38,tomi,9300,50,44.0,2026-08-08T01:29:54
Aatrox,39,inspired Nytop,8871,71,56.3,2026-08-08T01:30:01
Aatrox,40,Toji,9170,46,63.0,2026-08-08T01:30:10
Aatrox,41,OneEyedKing ルート,8811,63,57.1,2026-08-08T01:30:17
Aatrox,42,Okami 愛,8914,29,55.2,2026-08-08T01:30:27
Aatrox,43,萨拉你妈芬妮一半,9183,111,49.5,2026-08-08T01:30:37
Aatrox,44,Aatrox,8639,107,51.4,2026-08-08T01:30:54
Aatrox,45,Toxin v7,8598,76,61.8,2026-08-08T01:31:03
Aatrox,46,JV BALADA 3,9477,101,55.4,2026-08-08T01:31:13
Aatrox,47,PRIMEFALLGAP,9481,177,55.9,2026-08-08T01:31:19
